id,website,Service
0,Cloudflare,"What We Do At Cloudflare, we have our eyes set on an ambitious goal -- to help build a better Internet. We believe that with our talented team, smart technology and engaged users we can solve some of the biggest problems on the Internet"
1,Amazon CloudFront,"Amazon CloudFront is a web service for content delivery. It integrates with other Amazon Web Services to give developers and businesses an easy way to distribute content to end users with low latency, high data transfer speeds, and no commitments"
2,Fastly,"Fastly helps the world’s most popular digital businesses keep pace with their customer expectations by delivering fast, secure, and scalable online experiences"
3,CDN77,CDN77 is a Content Delivery Network with 35+ points of presence around the world (incl. 3 in South America). CDN77 has its own Video Processing and Delivery platform called Streamflow
4,KeyCDN,"KeyCDN is a simple, fast & reliable Content Delivery Network with 25+ POPs strategicially located around the globe. KeyCDN offers the lowest price at $0.04/GB (every region), pay-as-you-go and many advanced features such as HTTP/2 Support, Free SSL, Instant Purging, a RESTful API, Real-time Analytics, Two-Factor Auth, and 24+ CMS integrations (WordPress, Drupal, Joomla, Magento, etc"
5,Imperva Incapsula,"Imperva Incapsula delivers an enterprise-grade Web Application Firewall to safeguard your site from the latest threats, an intelligent and instantly effective 360-degree anti-DDoS solutions (layers 3-4 and 7), a global CDN to speed up your website's load speed and minimize bandwidth usage and an array of performance monitoring and analytic services to provide insights about your website's security and performance"
6,Linodes Standard,"Linode accelerates innovation by making cloud computing simple, accessible, and affordable to all. Founded in 2003, Linode helped pioneer the cloud computing industry and is today the largest independent open cloud provider in the world. Headquartered in Philadelphia's Old City, the company empowers more than a million developers, startups, and businesses across its global network of data centers"
7,Google Cloud CDN,"Content Delivery Network for Cloud Platform Google Cloud CDN leverages Google' s globally distributed edge points of presence to accelerate content delivery for websites and applications served out of Google Compute Engine and Google Cloud Storage. Cloud CDN lowers network latency, offloads origins, and reduces serving costs. Once you've set up HTTP(S) Load Balancing, simply enable Cloud CDN with a single checkbox"
8,Bootstrapcdn,"Bootstrapcdn is the recommended CDN for Bootstrap, Font Awesome and Bootswatch"
9,StackPath CDN,Innovative Content Delivery Network providing cutting-edge web services and info. like EdgeSSL and DualCDN Strategies
10,Rackspace CDN,"Accelerate your websites, web applications, and media delivery"
11,Microsoft Azure CDN,A fast and modern global delivery network for high-bandwidth content
12,Akamai,"The Akamai Intelligent Platform is a cloud platform for delivering secure, high-performing user experiences to any device, anywhere. It reaches globally and delivers locally"
13,Sucuri,"Sucuri is a managed security service provider for websites. Our cloud-based tools provide complete website security solution, including performance optimization via a CDN, mitigation of external attacks like vulnerability exploits and DDoS attacks, and professional response in the event of security incident"
14,Kollective,"At Kollective, we make corporate networks smarter so your people can work better. The Kollective platform scales existing IT infrastructure to accelerate content delivery to the edge of the enterprise while minimizing network congestion"
15,CDNify,"CDNify is a flexible and easy-to-use content delivery network built for developers, startups, and digital agencies to accelerate your website, speed up load times and provide a faster, more reliable experience for your customers"
16,Cachefly,"Launched in 2002, CacheFly developed the world’s first TCP-anycast based Content Delivery Network—the only network built for throughput. From the first byte to the last byte, CacheFly delivers your files faster"
17,Dexecure,"We are passionate web performance experts that want to make the internet faster. Dexecure is the only automatic web performance solution that accelerates websites, for better business results. Dexecure automatically performs Front end optimizations and partners with Content Delivery Networks (CDN) to deliver the fastest loading site"
18,IBM Enterprise Video Streaming,"IBM Watson Media (formerly IBM Cloud Video) provides an enterprise video solution, powered by Watson AI, for creating, storing, managing, broadcasting and measuring the impact of live and recorded video"
19,CDNetworks,"CDNetworks enables Global Cloud Acceleration with 160 global points of presence including China, Russia and other emerging markets"
